 ,min translation,max translation,min TR-to-TR translation,max TR-to-TR translation,mean TR-to-TR translation,STD TR-to-TR translation,min rotation,max rotation,min TR-to-TR rotation,max TR-to-TR rotation,mean TR-to-TR rotation,STD TR-to-TR rotation,max displacement,mean displacement,STD displacement,max TR-to-TR displacement,mean TR-to-TR displacement,STD TR-to-TR displacement,TR-to-TR displacement exceed threshold,
Run 4,-0.245001,0.117960,-0.318605,0.088741,-0.000174,0.040710,-0.002338,0.002617,-0.002980,0.001193,0.000017,0.000400,0.374602,0.143336,0.075277,0.401950,0.048816,0.043560,1.000000,
Run 5,-0.219152,0.267346,-0.238194,0.096640,-0.002103,0.032682,-0.004472,0.004114,-0.002252,0.001226,0.000005,0.000406,0.771127,0.455445,0.164431,0.256654,0.048819,0.042496,0.000000,


Subject 10
Run 1,-0.407978,0.242137,-0.181121,0.131726,-0.000318,0.039989,-0.005413,0.009609,-0.007237,0.001657,-0.000025,0.000907,1.233062,0.719219,0.248473,0.829709,0.095491,0.093777,3.000000,
Run 2,-0.389901,0.553799,-0.378195,0.426749,0.002950,0.072401,-0.004528,0.010878,-0.002511,0.002893,0.000068,0.000699,1.657380,0.704358,0.362841,0.721438,0.095652,0.100060,4.000000,
Run 3,-0.764286,0.599723,-0.338486,0.204123,0.004860,0.078161,-0.007205,0.007496,-0.003043,0.003622,0.000061,0.000877,2.089513,1.119998,0.596665,1.285934,0.129829,0.126907,6.000000,
Run 4,-0.778102,0.753148,-0.191233,0.596798,0.006820,0.066234,-0.008128,0.011402,-0.004233,0.001991,0.000058,0.000809,2.658324,1.127259,0.687649,0.975750,0.104623,0.121484,5.000000,


Subject 11
Run 1,-0.272850,0.277346,-0.101551,0.085037,-0.002347,0.016364,-0.003298,0.006043,-0.000509,0.003071,-0.000031,0.000326,1.044243,0.697165,0.257518,0.246917,0.030360,0.031517,0.000000,
Run 2,-0.083870,0.234764,-0.145771,0.039540,-0.001235,0.016370,-0.004473,0.005322,-0.001446,0.002847,-0.000046,0.000354,1.042333,0.647248,0.219565,0.232032,0.039795,0.036481,0.000000,
Run 3,-0.343525,0.986209,-0.530820,0.430686,0.005822,0.071287,-0.006396,0.007366,-0.002922,0.004254,0.000046,0.000739,1.611724,0.576451,0.238512,0.744044,0.073630,0.094944,3.000000,
Run 4,-0.341807,0.734731,-0.154851,0.410002,0.001440,0.052292,-0.004207,0.008853,-0.001614,0.002076,-0.000029,0.000506,1.509355,1.198832,0.281950,0.503979,0.076325,0.066794,2.000000,
Run 5,-0.322355,0.423830,-0.303338,0.327496,-0.002465,0.062052,-0.005220,0.010322,-0.006971,0.005243,-0.000007,0.000922,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Run 6,-0.270547,0.372901,-0.297796,0.136596,0.000867,0.045296,-0.004434,0.004537,-0.001531,0.002976,-0.000008,0.000583,1.064265,0.747923,0.211747,0.360752,0.067701,0.055993,0.000000,


Subject 12
Run 1,-0.172456,0.231267,-0.232445,0.157346,-0.001867,0.040134,-0.000831,0.001535,-0.000720,0.001118,0.000005,0.000178,0.571032,0.321836,0.080362,0.388304,0.045423,0.051363,0.000000,
Run 2,-0.124480,0.204053,-0.238530,0.120468,0.000287,0.034538,-0.001097,0.001958,-0.001038,0.001448,0.000009,0.000224,0.483942,0.312249,0.055743,0.341302,0.040687,0.042866,0.000000,
Run 3,-0.566377,0.691048,-0.343511,0.320540,0.003609,0.082930,-0.011166,0.007674,-0.006415,0.004135,0.000044,0.001033,1.317634,0.680837,0.227059,0.958073,0.123466,0.111539,6.000000,
Run 4,-0.680724,0.677744,-0.318846,0.327044,0.001758,0.084007,-0.011054,0.007155,-0.004615,0.001827,-0.000044,0.000691,1.153734,0.543536,0.276940,0.779992,0.098882,0.094729,2.000000,
Run 5,-0.379866,0.508017,-0.204073,0.166418,0.002561,0.040505,-0.003462,0.004701,-0.000995,0.001377,0.000010,0.000313,1.077353,0.620865,0.216407,0.249257,0.056747,0.039105,0.000000,
